CCTV-1高清,rtp://239.93.0.58:5140
CCTV-2高清,rtp://239.93.1.23:6000
CCTV-3高清,rtp://239.93.0.109:5140	
CCTV-4高清,rtp://239.93.1.105:5140
CCTV-5高清,rtp://239.93.42.37:5140
CCTV-6高清,rtp://239.93.42.38:5140
CCTV-7高清,rtp://239.93.1.67:5140
CCTV-8高清,rtp://239.93.42.39:5140
CCTV-9高清,rtp://239.93.1.24:5140
CCTV-10高清,rtp://239.93.1.28:5140
CCTV-11高清,rtp://239.93.0.102:5140
CCTV-12高清,rtp://239.93.1.30:8124
CCTV-13高清,rtp://239.93.0.66:5140
CCTV-少儿高清,rtp://239.93.1.29:6000
CCTV-15高清,rtp://239.93.0.103:5140
CCTV-17高清,rtp://239.93.0.92:5140
CCTV-5＋高清,rtp://239.93.1.173:5140
爱上4K,rtp://239.93.0.97:5140
CCTV-4K,rtp://239.93.42.42:5140
